style_color,country_code,snapshot_date,model_number,product_name,color_name,gender_segment,category,subcategory,currency,price_local,sale_price_local,discount_pct,in_stock,availability_level
FV4227-700,US,2026-03-19,FV4227,Air Jordan 1 Element Low A/T,Light Lemon Twist/Life Lime/Light Wild Mango/Lime Ice,MEN|WOMEN,FOOTWEAR,Men's Shoes,USD,205.0,,0.0,True,HIGH
DV0991-101,US,2026-03-19,DV0991,Air Jordan 1 Mid,White/White/Black,MEN|WOMEN,FOOTWEAR,Women's Shoes,USD,130.0,,0.0,True,HIGH
II5389-417,US,2026-03-19,II5389,Air Jordan 85,Old Royal,MEN,APPAREL,Men's Oversized Graphic Crew-Neck Sweatshirt,USD,45.0,,0.0,True,HIGH
HV4794-100,US,2026-03-19,HV4794,"Air Jordan 9 Retro ""Flint Grey and French Blue""",White/Flint Grey/French Blue,MEN|WOMEN,FOOTWEAR,Men's Shoes,USD,215.0,,0.0,True,HIGH
IU1073-417,US,2026-03-19,IU1073,Brazil 2026 Stadium Away,Old Royal/Black,MEN,APPAREL,Men's Jordan Dri-FIT Soccer Replica Shorts,USD,70.0,,0.0,True,OOS
IU1080-417,US,2026-03-19,IU1080,Brazil 2026 Stadium Away,Old Royal/Black,BOYS|GIRLS,APPAREL,Big Kids' Jordan Dri-FIT Soccer Replica Jersey,USD,85.0,,0.0,True,HIGH
IU1077-417,US,2026-03-19,IU1077,Brazil 2026 Stadium Away,Old Royal/Black,WOMEN,APPAREL,Women's Jordan Dri-FIT Soccer Replica Jersey,USD,100.0,,0.0,True,OOS
IU1072-417,US,2026-03-19,IU1072,Brazil 2026 Stadium Away,Old Royal/Black,MEN,APPAREL,Men's Jordan Dri-FIT Soccer Replica Jersey,USD,100.0,,0.0,True,HIGH
FZ1307-432,US,2026-03-19,FZ1307,FC Barcelona 2025/26 Stadium Fourth,Gym Blue/Gym Blue/Salsa Red/Opti Yellow,BOYS|GIRLS,APPAREL,Big Kids' Nike Dri-FIT Soccer Replica Jersey,USD,80.0,,0.0,True,OOS
FZ3958-412,US,2026-03-19,FZ3958,FC Barcelona Strike Fourth,University Blue/Gym Blue/Opti Yellow,MEN,APPAREL,Men's Nike Dri-FIT Soccer Anthem Jacket,USD,150.0,,0.0,True,OOS
FJ0238-728,US,2026-03-19,FJ0238,Golden State Warriors Essential,Amarillo,MEN,APPAREL,Men's Nike NBA T-Shirt,USD,25.97,37.0,29.8108,True,OOS
DN2005-401,US,2026-03-19,DN2005,Golden State Warriors Icon Edition,Rush Blue,MEN,APPAREL,Men's Nike Dri-FIT NBA Swingman Jersey,USD,125.0,,0.0,True,HIGH
HM3196-438,US,2026-03-19,HM3196,Inter Milan 2025/26 Match Third,Thunder Blue/Safety Orange/Safety Orange,MEN,APPAREL,Men's Nike Dri-FIT ADV Total 90 Soccer Authentic Jersey,USD,170.0,,0.0,True,OOS
IB3536-413,US,2026-03-19,IB3536,Inter Milan 2026 Stadium SE,Hyper Blue/Black/Safety Orange,BOYS|GIRLS,APPAREL,Big Kids' Nike ACG Dri-FIT Soccer Replica Jersey,USD,85.0,,0.0,True,MEDIUM
IQ0547-045,US,2026-03-19,IQ0547,Jordan,Off Noir,MEN,APPAREL,Men's Graphic T-Shirt,USD,40.0,,0.0,True,OOS
HQ9020-133,US,2026-03-19,HQ9020,Jordan Brooklyn,Sail/Sail,MEN,APPAREL,Men's Realtree T-Shirt,USD,31.97,45.0,28.9556,True,OOS
IM5104-417,US,2026-03-19,IM5104,Jordan Brooklyn,Old Royal/Black/Yellow Pulse/Yellow Pulse,MEN,APPAREL,"Men's 5"" Woven Shorts",USD,45.0,,0.0,True,LOW
HV0469-133,US,2026-03-19,HV0469,Jordan Brooklyn Fleece,Sail/Sail,WOMEN,APPAREL,Women's Realtree Mod Crop Full-Zip Hoodie,USD,78.0,,0.0,True,HIGH
IF1822-010,US,2026-03-19,IF1822,Jordan Flight,Black/White,MEN,APPAREL,Men's Graphic Workwear Jacket,USD,160.0,,0.0,True,HIGH
IQ5238-010,US,2026-03-19,IQ5238,Jordan Flight,Black/Sail,MEN,APPAREL,Men's Woven Pants,USD,125.0,,0.0,True,LOW
IO3045-237,US,2026-03-19,IO3045,Jordan Flight,Baroque Brown/British Khaki/Baroque Brown,WOMEN,APPAREL,Women's Reversible Vest,USD,140.0,,0.0,True,LOW
IO9531-010,US,2026-03-19,IO9531,Jordan Flight Club,Black,WOMEN,APPAREL,Women's Fleece Quarter-Zip Pullover,USD,100.0,,0.0,True,LOW
DM0979-009,US,2026-03-19,DM0979,Jordan Hydro VI Retro,Black/Infrared 23,MEN,FOOTWEAR,Slides,USD,70.0,,0.0,True,HIGH
HJ0627-010,US,2026-03-19,HJ0627,Jordan Rise,Black/White,MEN|WOMEN,APPAREL,Structured Curved-Bill Hat,USD,30.0,,0.0,True,HIGH
HQ9768-010,US,2026-03-19,HQ9768,Jordan Sport,Black/White,WOMEN,APPAREL,"Women's Dri-FIT High-Waisted 6"" Shorts",USD,50.0,,0.0,True,HIGH
IB2740-010,US,2026-03-19,IB2740,Kobe,Black/Anthracite/White,BOYS|GIRLS,APPAREL,Big Kids' Winterized Basketball Pants,USD,62.97,90.0,30.0333,True,HIGH
IO0311-010,US,2026-03-19,IO0311,Kobe All-Star Weekend,Black/Sonic Yellow/Light Photo Blue,BOYS|GIRLS,APPAREL,Big Kids' Fleece Basketball Hoodie,USD,75.0,,0.0,True,HIGH
II7126-010,US,2026-03-19,II7126,LeBron,Black,MEN,APPAREL,Men's Nike NBA T-Shirt,USD,55.0,,0.0,True,OOS
IF1707-078,US,2026-03-19,IF1707,Nike ACG,Grey Fog/Light Lemon Twist/Summit White,BOYS|GIRLS,APPAREL,Big Kids' UV Long-Sleeve Top,USD,50.0,,0.0,True,HIGH
IO9395-628,US,2026-03-19,IO9395,"Nike Academy ""Vini Jr.""",Sunset Pulse/Old Royal/Old Royal,MEN|WOMEN,EQUIPMENT,Soccer Ball,USD,39.0,,0.0,True,HIGH
HF0659-900,US,2026-03-19,HF0659,Nike Air Force 1 Low By You,Multi-Color/Multi-Color/Multi-Color,MEN,FOOTWEAR,Custom Men's Shoes,USD,140.0,,0.0,True,HIGH
HF0662-900,US,2026-03-19,HF0662,Nike Air Force 1 Mid By You,Multi-Color/Multi-Color/Multi-Color,WOMEN,FOOTWEAR,Custom Women's Shoes,USD,145.0,,0.0,True,HIGH
HF0660-900,US,2026-03-19,HF0660,Nike Air Force 1 Mid By You,Multi-Color/Multi-Color/Multi-Color,MEN,FOOTWEAR,Custom Men's Shoes,USD,145.0,,0.0,True,HIGH
FD9781-900,US,2026-03-19,FD9781,Nike Air Huarache By You,Multi-Color/Multi-Color/Multi-Color,MEN,FOOTWEAR,Custom Men's Shoes,USD,135.0,,0.0,True,HIGH
HQ3714-900,US,2026-03-19,HQ3714,Nike Air Max 1 By You,Multi-Color/Multi-Color/Multi-Color,MEN,FOOTWEAR,Custom Men's Shoes,USD,175.0,,0.0,True,HIGH
HQ3713-900,US,2026-03-19,HQ3713,Nike Air Max 1 By You,Multi-Color/Multi-Color/Multi-Color,WOMEN,FOOTWEAR,Custom Women's Shoes,USD,175.0,,0.0,True,HIGH
IQ8027-900,US,2026-03-19,IQ8027,Nike Air Max 270 By You,Multi-Color/Multi-Color,MEN,FOOTWEAR,Men's Shoes,USD,190.0,,0.0,True,HIGH
IB6606-600,US,2026-03-19,IB6606,"Nike Air Max 90 Premium ""Valentine’s Day""",University Red/Black/University Red,MEN,FOOTWEAR,Men's Shoes,USD,145.0,,0.0,True,HIGH
DM1182-991,US,2026-03-19,DM1182,Nike Air Max 95 By You,Multi-Color/Multi-Color/Multi-Color/Multi-Color,MEN,FOOTWEAR,Custom Men's Shoe,USD,210.0,,0.0,True,HIGH
IQ0288-100,US,2026-03-19,IQ0288,Nike Air Max Plus,White/Pearl Grey/Black/Neon Yellow,MEN|WOMEN,FOOTWEAR,Men's Shoes,USD,190.0,,0.0,True,HIGH
HF0665-900,US,2026-03-19,HF0665,Nike Air Max Plus By You,Multi-Color/Multi-Color/Multi-Color,MEN|WOMEN,FOOTWEAR,Custom Shoes,USD,200.0,,0.0,True,HIGH
IM8066-999,US,2026-03-19,IM8066,Nike Alphafly 3,Multi-Color/Volt/White/Black,MEN,FOOTWEAR,Men's Road Racing Shoes,USD,305.0,,0.0,True,HIGH
FN3520-664,US,2026-03-19,FN3520,Nike Club,Washed Coral/Washed Coral/White,MEN,APPAREL,Men's French Terry Flow Shorts,USD,37.97,55.0,30.9636,True,OOS
IM1382-900,US,2026-03-19,IM1382,Nike Dunk Low By You,Multi-Color/Multi-Color/Multi-Color,WOMEN,FOOTWEAR,Custom Women's Shoes,USD,145.0,,0.0,True,HIGH
IO7564-900,US,2026-03-19,IO7564,Nike Field General By You,Multi-Color/Multi-Color,WOMEN,FOOTWEAR,Custom Women's Shoes,USD,125.0,,0.0,True,HIGH
IO7556-900,US,2026-03-19,IO7556,Nike Field General By You,Multi-Color/Multi-Color,MEN,FOOTWEAR,Custom Men's Shoes,USD,125.0,,0.0,True,HIGH
CW7635-991,US,2026-03-19,CW7635,Nike Internationalist By You,Multi-Color/Multi-Color/Multi-Color,MEN,FOOTWEAR,Custom Men's Shoe,USD,110.0,,0.0,True,HIGH
DN3614-458,US,2026-03-19,DN3614,Nike Mercurial Hardshell,Racer Blue/Black/Pink Blast,MEN|WOMEN,EQUIPMENT,Soccer Shin Guards,USD,20.0,,0.0,True,HIGH
HQ3271-900,US,2026-03-19,HQ3271,Nike Mercurial Superfly 10 Academy By You,Multi-Color/Multi-Color,MEN|WOMEN,FOOTWEAR,Custom FG High-Top Soccer Cleats,USD,130.0,,0.0,True,HIGH
HQ3270-900,US,2026-03-19,HQ3270,Nike Mercurial Vapor 16 Academy By You,Multi-Color/Multi-Color,MEN|WOMEN,FOOTWEAR,Custom Firm-Ground Low-Top Soccer Cleats,USD,120.0,,0.0,True,HIGH
HQ4308-003,US,2026-03-19,HQ4308,Nike Mind 002,Light Smoke Grey/Photon Dust/Hyper Crimson/Chrome,MEN,FOOTWEAR,Men's Shoes,USD,145.0,,0.0,True,OOS
HV0310-610,US,2026-03-19,HV0310,Nike Pro,Bordeaux,GIRLS,APPAREL,"Big Kids' (Girls') Dri-FIT 3"" Shorts with Shine Accents",USD,24.97,32.0,21.9688,True,LOW
FJ0439-010,US,2026-03-19,FJ0439,Nike Sportswear,Black/Black/White,MEN|WOMEN,EQUIPMENT,RPM Tote (26L),USD,77.97,95.0,17.9263,True,HIGH
FZ6128-368,US,2026-03-19,FZ6128,Nike Sportswear Commute,Olive Flak/Olive Flak/Cream II,MEN|WOMEN,EQUIPMENT,Backpack (25L),USD,76.97,95.0,18.9789,True,HIGH
FZ6130-368,US,2026-03-19,FZ6130,Nike Sportswear Commute,Olive Flak/Olive Flak/Cream II,MEN|WOMEN,EQUIPMENT,Tote Bag (20L),USD,64.97,80.0,18.7875,True,HIGH
FZ6133-416,US,2026-03-19,FZ6133,Nike Sportswear Commute,Blue Force/Blue Force/Work Blue,MEN|WOMEN,EQUIPMENT,Crossbody Bag (1L),USD,30.97,35.0,11.5143,True,MEDIUM
FZ6132-368,US,2026-03-19,FZ6132,Nike Sportswear Commute,Olive Flak/Olive Flak/Cream II,MEN|WOMEN,EQUIPMENT,Sling Bag (9L),USD,60.97,75.0,18.7067,True,HIGH
FN3622-652,US,2026-03-19,FN3622,Nike Sportswear Phoenix Plush,Burgundy Crush/Sail,WOMEN,APPAREL,Women's High-Waisted Wide-Leg Cozy Fleece Pants,USD,58.97,85.0,30.6235,True,OOS
IO9567-400,US,2026-03-19,IO9567,Nike Streakfly 2 Glam,Dark Obsidian/Electric Green/Purple Dynasty/Black,MEN|WOMEN,FOOTWEAR,Road Racing Shoes,USD,200.0,,0.0,True,HIGH
IQ8295-339,US,2026-03-19,IQ8295,Nike Tiempo Streetgato LE,Olive Aura/Metallic Red Bronze/Light Liquid Lime,MEN|WOMEN,FOOTWEAR,Indoor/Court Low-Top Soccer Shoes,USD,105.0,,0.0,True,LOW
IB6554-001,US,2026-03-19,IB6554,Nike Vapor 12,Black/Light Lemon Twist/Blue Ribbon Heather/White,WOMEN,FOOTWEAR,Women's Hard Court Tennis Shoes,USD,190.0,,0.0,True,LOW
IB6558-100,US,2026-03-19,IB6558,Nike Vapor Pro 3,Sail/Turf Orange/Blue Ribbon Heather/Black,MEN,FOOTWEAR,Men's Hard Court Tennis Shoes,USD,145.0,,0.0,True,HIGH
IO7552-900,US,2026-03-19,IO7552,Nike Vomero 18 By You,Multi-Color/Multi-Color/Multi-Color,WOMEN,FOOTWEAR,Custom Women's Road Running Shoes,USD,175.0,,0.0,True,HIGH
IO7528-900,US,2026-03-19,IO7528,Nike Vomero 18 By You,Multi-Color/Multi-Color/Multi-Color,MEN,FOOTWEAR,Custom Men's Road Running Shoes,USD,175.0,,0.0,True,HIGH
IO9566-400,US,2026-03-19,IO9566,Nike Zoom Fly 6 Glam,Dark Obsidian/Racer Blue/Emerald Rise/Black,WOMEN,FOOTWEAR,Women's Road Racing Shoes,USD,190.0,,0.0,True,HIGH
IQ5175-001,US,2026-03-19,IQ5175,Nike Zoom GP Challenge 1.5 PRM,Black/Light Lemon Twist/White,WOMEN,FOOTWEAR,Women's Hard Court Tennis Shoes,USD,180.0,,0.0,True,LOW
HQ2181-004,US,2026-03-19,HQ2181,Nike Zoom Vomero Roam,Black/Black/Racer Blue/Black,WOMEN,FOOTWEAR,Women's Winterized Shoes,USD,190.0,,0.0,True,HIGH
IF1989-435,US,2026-03-19,IF1989,Nike x Stranger Things,Light Photo Blue/Light Photo Blue,MEN,APPAREL,Men's Pullover Hoodie,USD,75.0,,0.0,True,OOS
II5248-051,US,2026-03-19,II5248,Nike x Stranger Things,Birch Heather,MEN,APPAREL,Men's T-Shirt,USD,60.0,,0.0,True,OOS
FZ6512-570,US,2026-03-19,FZ6512,NikeCourt Advantage,Sapphire/Sapphire,WOMEN,APPAREL,Women's Dri-FIT Pleated Tennis Skirt,USD,90.0,,0.0,True,LOW
FZ6507-323,US,2026-03-19,FZ6507,NikeCourt Heritage Windrunner,Fir,WOMEN,APPAREL,Women's Tennis Jacket,USD,65.97,95.0,30.5579,True,OOS
FN8972-101,US,2026-03-19,FN8972,Paris Saint-Germain 2024/25 Stadium Away,White/Midnight Navy/University Red/Midnight Navy,WOMEN,APPAREL,Women's Nike Dri-FIT Soccer Replica Jersey,USD,100.0,,0.0,True,LOW
HJ4606-680,US,2026-03-19,HJ4606,Paris Saint-Germain 2025/26 Stadium Third,Global Red/Sport Red/Hyper Royal,MEN,APPAREL,Men's Nike Dri-FIT Total 90 Soccer Replica Jersey,USD,100.0,,0.0,True,OOS
HM3245-680,US,2026-03-19,HM3245,Paris Saint-Germain 2025/26 Stadium Third,Global Red/Sport Red/Hyper Royal,WOMEN,APPAREL,Women's Nike Dri-FIT Total 90 Soccer Replica Jersey,USD,100.0,,0.0,True,LOW
DO9422-566,US,2026-03-19,DO9422,Phoenix Suns Icon Edition,New Orchid/White,MEN,APPAREL,Men's Nike Dri-FIT NBA Swingman Shorts,USD,58.97,85.0,30.6235,True,LOW
IO7548-900,US,2026-03-19,IO7548,Sabrina 3 By You,Multi-Color/Multi-Color/Multi-Color,MEN|WOMEN,FOOTWEAR,Custom Basketball Shoes,USD,165.0,,0.0,True,HIGH
HM3207-741,US,2026-03-19,HM3207,Tottenham Hotspur 2025/26 Stadium Third,Dynamic Yellow/Blue Void/Pacific Blue/Blue Void,MEN,APPAREL,Men's Nike Dri-FIT Total 90 Soccer Replica Jersey,USD,95.0,,0.0,True,HIGH
HF0996-010,FI,2026-03-19,HF0996,A'ja Wilson Las Vegas Aces,Black/Flat Silver/White,MEN|WOMEN,APPAREL,Nike Dri-FIT WNBA Victory Jersey,EUR,94.99,,0.0,True,LOW
FV4227-700,FI,2026-03-19,FV4227,Air Jordan 1 Low A/T,Light Lemon Twist/Life Lime/Light Wild Mango/Lime Ice,MEN,FOOTWEAR,Men's Shoes,EUR,199.99,,0.0,True,OOS
DV0991-101,FI,2026-03-19,DV0991,Air Jordan 1 Mid,White/White/Black,WOMEN,FOOTWEAR,Women's Shoes,EUR,139.99,,0.0,True,HIGH
IO7449-600,FI,2026-03-19,IO7449,Air Jordan 1 Mid SE,Team Red/Obsidian/Pale Vanilla,MEN,FOOTWEAR,Men's Shoes,EUR,149.99,,0.0,True,OOS
IB7010-001,FI,2026-03-19,IB7010,Air Jordan 1 Mid SE,Light Iron Ore/Pale Ivory/Oatmeal/Enigma Stone,WOMEN,FOOTWEAR,Women's shoes,EUR,149.99,,0.0,True,LOW
HQ2011-100,FI,2026-03-19,HQ2011,Air Jordan 1 Mid SE,White/Cave Stone/Dark Sulphur/Oil Grey,MEN,FOOTWEAR,Men's Shoes,EUR,104.99,149.99,30.002,True,HIGH
HQ6996-200,FI,2026-03-19,HQ6996,Air Jordan 1 Retro Low 'Medium Olive and Summit White',Medium Olive/Summit White/Sail/Black,BOYS|GIRLS,FOOTWEAR,Younger Kids' Shoes,EUR,79.99,,0.0,True,OOS
DN3707-202,FI,2026-03-19,DN3707,Air Jordan 3 Retro 'Medium Olive',Medium Olive/Neutral Olive/Sail/Sequoia,MEN,FOOTWEAR,Men's Shoes,EUR,209.99,,0.0,True,LOW
II5389-417,FI,2026-03-19,II5389,Air Jordan 85,Old Royal,MEN,APPAREL,Men's Oversized Graphic Crew-Neck Sweatshirt,EUR,39.99,,0.0,True,HIGH
HV4794-100,FI,2026-03-19,HV4794,Air Jordan 9 Retro 'Flint Grey and French Blue',White/Flint Grey/French Blue,MEN,FOOTWEAR,Men's shoes,EUR,209.99,,0.0,True,OOS
IU1073-417,FI,2026-03-19,IU1073,Brazil 2026 Stadium Away,Old Royal/Black,MEN,APPAREL,Men's Jordan Dri-FIT Football Replica Shorts,EUR,54.99,,0.0,True,LOW
IU1080-417,FI,2026-03-19,IU1080,Brazil 2026 Stadium Away,Old Royal/Black,BOYS|GIRLS,APPAREL,Older Kids' Jordan Dri-FIT Football Replica Shirt,EUR,84.99,,0.0,True,HIGH
IU1077-417,FI,2026-03-19,IU1077,Brazil 2026 Stadium Away,Old Royal/Black,WOMEN,APPAREL,Women's Jordan Dri-FIT Football Replica Shirt,EUR,109.99,,0.0,True,HIGH
IU1072-417,FI,2026-03-19,IU1072,Brazil 2026 Stadium Away,Old Royal/Black,MEN,APPAREL,Men's Jordan Dri-FIT Football Replica Shirt,EUR,109.99,,0.0,True,OOS
IQ3335-369,FI,2026-03-19,IQ3335,Brazil 2026 Stadium Goalkeeper,Light Menta/Black,MEN,APPAREL,Men's Jordan Dri-FIT Football Short-Sleeve Replica Shirt,EUR,109.99,,0.0,True,OOS
HV5640-010,FI,2026-03-19,HV5640,Chicago Bulls Courtside,Black,MEN,APPAREL,Men's Nike NBA Vintage T-Shirt,EUR,39.99,,0.0,True,OOS
FZ3958-412,FI,2026-03-19,FZ3958,F.C. Barcelona Strike Fourth,University Blue/Gym Blue/Opti Yellow,MEN,APPAREL,Men's Nike Dri-FIT Football Anthem Jacket,EUR,139.99,,0.0,True,HIGH
FZ1311-432,FI,2026-03-19,FZ1311,FC Barcelona 2025/26 Match Fourth,Gym Blue/Gym Blue/Salsa Red/Opti Yellow,MEN,APPAREL,Men's Nike Dri-FIT ADV Football Authentic Shirt,EUR,149.99,,0.0,True,HIGH
